n,Site,Vial Name,Cham,Sample,Window,Collection Date,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA_conc,Isolation Date,CT_18s,CT_40,CT_70,CT_83,CDNA,dilution factor,vol cDNA for dilution,vol of water for dilution
192,HF,HF 11-1,11,1,,20130626,24.4,24.8,24.4,24.6,84,20150806,9.118,,,23.35,2.5,10,5,45
195,HF,HF 12-1,12,1,,20130626,23.2,24,23.6,23.8,83,20150806,9.956,,,28.633,2.5,10,5,45
179,HF,HF 6-1,6,1,,20130626,24.2,26.2,26.2,28.4,97,20150806,10.012,,,27.652,2.5,10,5,45
180,HF,HF 6-2B,6,2,,20130626,26.2,25.6,25.6,26.8,63 (after diluted 1:2),20150806,10.547,,,33.06,2.5,10,5,45
181,HF,HF 6-3B,6,3,,20130626,27,28.2,28.2,28.6,70 (after diluted 1:2),20150805,10.623,,,34.441,2.5,10,5,45
60,DF,DF 5C-4,5,3,D,20130910,29.9,29.4,28.4,29.4,36.7,20150723,10.811,27.331,21.923,23.088,2.5,10,5,45
72,DF,DF A11-D,11,1,A,20130910,27.4,27.2,27.2,26.8,24.6,20150728,10.892,28.565,22.646,23.037,2.5,10,5,45
61,DF,DF A6-1,6,1,A,20130910,25.4,24.8,25.2,25.8,14.1,20150723,10.932,27.436,22.32,23.123,2.5,10,5,45
83,DF,DF 14-C,14,3,B,20130910,31.6,30.6,32,31.2,52,20150723,10.936,26.5,21.124,20.215,2.5,10,5,45
64,DF,DF 8-B,8,1,B,20130910,29.6,30.2,29.2,30.2,41.2,20150723,10.939,28.207,,,2.5,10,5,45
52,DF,DF A3-B,3,1,B,20130910,29.4,29.4,30.8,30.8,37.6,20150723,10.961,27.239,21.642,24.431,2.5,10,5,45
62,DF,DF A6-C,6,2,C,20130910,24.8,24.8,25.6,26.2,76,20150728,10.969,28.158,22.671,24.358,2.5,10,5,45
70,DF,DF 10-2,10,2,B,20130910,25,24,25,25,57,20150727,10.985,28.161,23.147,23.722,2.5,10,5,45
59,DF,DF 5B-D,5,2,B,20130910,29.2,29.2,29.6,29.4,27.3,20150728,10.991,27.249,21.153,21.493,2.5,10,5,45
66,DF,DF 8-C,8,3,C,20130910,32.4,31,32.2,32.2,26.2,20150727,11.01,26.476,20.621,20.685,2.5,10,5,45
73,DF,DF A11-C,11,2,C,20130910,27.8,27.4,27.6,27.8,54,20150728,11.025,28.421,23.219,24.773,2.5,10,5,45
55,DF,DF 4A-B,4,1,B,20130910,25.4,25.6,24.8,25.8,29.5,20150728,11.1,26.915,22.721,23.212,2.5,10,5,45
67,DF,DF A9-C,9,1,C,20130910,28.2,28.2,28.6,27.6,41.3,20150728,11.236,27.999,21.781,22.881,2.5,10,5,45
71,DF,DF A10-1,10,3,A,20130910,25,24,24,24,32.1,20150724,11.274,27.937,22.096,23.32,2.5,10,5,45
63,DF,DF A6-4,6,3,D,20130910,24.8,24.8,25.8,26.2,8.22,20150728,11.328,28.592,22.65,23.598,2.5,10,5,45
58,DF,DF 5D-C,5,1,C,20130910,28.8,29.4,29.2,29.6,54,20150727,11.378,27.739,22.342,23.412,2.5,10,5,45
56,DF,DF 4B-C,4,2,C,20130910,27.4,26.8,26.4,27.6,3.7,20150723,11.409,28.308,22.878,23.729,1.85,7.4,6.756756757,43.24324324
82,DF,DF 14-D,14,2,D,20130910,29.4,28.4,30.2,30.8,2.97,20150723,11.437,29.096,23.408,24.104,1.485,5.94,8.417508418,41.58249158
74,DF,DF A11-B,11,3,B,20130910,27.8,27.6,27.6,27.8,36.2,20150724,11.466,28.01,22.947,25.509,2.5,10,5,45
51,DF,DF A2-D,2,3,D,20130910,25.8,26.2,25.6,26.2,7.58,20150724,11.55,29.522,23.94,,2.5,10,5,45
194,HF,HF 11-3,11,3,,20130626,25.8,25.8,23.8,25.8,2.87,20150805,11.618,,,29.134,1.435,5.74,8.710801394,41.28919861
48,DF,DF A1-B,1,3,B,20130910,27,28.4,27.6,29,35.4,20150724,11.777,29.241,24.385,27.095,2.5,10,5,45
182,HF,HF 7-1,7,1,,20130626,25.4,27.2,25.2,26.4,16.9,20150806,11.892,,,28.215,2.5,10,5,45
54,DF,DF A3-C,3,3,C,20130910,28.8,30.6,31.4,30.4,57,20150727,11.955,28.294,22.85,23.807,2.5,10,5,45
16,DF,DF A6-C,6,1,C,20130702,24.2,24.6,24.4,24.4,36.3,20150804,11.973,,,31.047,2.5,10,5,45
65,DF,DF A8-D,8,2,D,20130910,32.2,32.8,33.2,33.4,25.4,20150724,12.112,27.879,21.411,22.399,2.5,10,5,45
76,DF,DF 12-B,12,2,B,20130910,30.2,31.6,29.8,30.4,40.2,20150729,12.181,29.408,23.682,25.289,2.5,10,5,45
184,HF,HF 8-2,8,2,,20130626,25,25.8,24,25.2,5.71,20150806,12.347,,,27.83,2.5,10,5,45
69,DF,DF A10-3,10,1,C,20130910,24.4,25.2,25.2,25,43.1,20150724,12.353,27.933,22.99,24.259,2.5,10,5,45
188,HF,HF 9-3,9,3,,20130626,23.6,22.2,24.2,24.4,64,20150805,12.416,,,29.409,2.5,10,5,45
191,HF,HF 10-3,10,3,,20130626,25.4,24.2,24.8,24.6,5.15,20150807,12.451,,,28.556,2.5,10,5,45
22,DF,DF A8-A,8,1,B,20130702,24.4,24.2,24.2,24.2,16.3,20150804,12.635,,,30.804,2.5,10,5,45
