#Metadata,,,,,,,,,,,,,,,,,,,,,
#Name and contact info,,,"Curtis Provencher, cprovenc@uvm.edu",,,,,,,,,,,,,,,,,,
#Study name: ,,,,,,,,,,,,,,,,,,,,,
#Financial support:,,,"National Science Foundation, Division of Environmental Biology (1136644) ",,,,,,,,,,,,,,,,,,
#Methods of data collection: ,,,,,,,,,,,,,,,,,,,,,
#Experimental units for each variable:,,,,,,,deg. C,deg. C,deg. C,deg. C,ng/uL,,,,,,,ng/uL,,uL,uL
#Data layout and structure:,,,,,,,,,,,,,,,,,,,,,
N,Collection Date,Site,Vial Name,Cham,Sample,Window,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,RNA conc. ,Isolation Date,CT_18s,CT_40,CT_70,CT_83,RIN_Value,CDNA,dilution factor,vol cDNA for dilution,vol of water for dilution
1,20130702,DF,DF A1-C,1,1,C,24.2,24.2,24.4,24.4,62,20150811,,,,,2.1,2.5,10,5,45
2,20130702,DF,DF A1-B,1,2,B,24.8,24.6,24.6,24.4,27.8,20150813,,,,,2.2,2.5,10,5,45
3,20130702,DF,DF A1-A,1,3,B,25.2,25.2,25.2,25,14.8,20150731,18.459,32.099,26.112,31.266,3.7,2.5,10,5,45
4,20130702,DF,DF A2-B,2,1,B,23,23.2,23.2,23.4,42.1,20150814,13.121,32.058,28.401,31.109,2.8,2.5,10,5,45
5,20130702,DF,DF A2-C,2,2,C,23.8,23.8,23.6,23.6,86,20150813,,,,,2.4,2.5,10,5,45
6,20130702,DF,DF A2-A,2,3,A,22.4,23.6,23.6,23.6,68,20150813,,,,,7,2.5,10,5,45
7,20130702,DF,DF A3-B,3,1,B,23,23,23.6,23.2,16.5,20150730,29.813,,32.777,31.51,2.6,2.5,10,5,45
8,20130702,DF,DF A3-A,3,2,A,23,22.8,23,23.8,65,20150814,14.801,30.751,28.745,31.524,2.1,2.5,10,5,45
9,20130702,DF,DF A3-C,3,3,C,22.8,22.8,22.8,22.4,45.2,20150804,15.819,33.125,27.241,31.83,2.4,2.5,10,5,45
10,20130702,DF,DF A4-B,4,1,B,22.4,22.4,22.6,22.6,55,20150813,,,,,2.7,2.5,10,5,45
11,20130702,DF,DF A4-C,4,2,D,24,24.2,23.8,23.8,5.52,20150804,11.71,31.388,26.879,30.381,2.9,2.5,10,5,45
12,20130702,DF,DF A4-A,4,3,A,23.8,23.8,24.2,23.8,17.3,20150731,17.55,31.687,29.732,33.506,1,2.5,10,5,45
13,20130702,DF,DF A5-A,5,1,C,24.2,24,23.8,24,12.8,20150731,15.01,31.374,28.525,34.905,2.8,2.5,10,5,45
14,20130702,DF,DF A5-C,5,2,D,23.6,25.4,23.6,23.6,10.4,20150811,,,,,3.2,2.5,10,5,45
15,20130702,DF,DF A5-B,5,3,E,23.4,23.4,23.2,23.6,11.7,20150730,15.376,30.446,27.758,31.27,2.6,2.5,10,5,45
16,20130702,DF,DF A6-C,6,1,C,24.2,24.6,24.4,24.4,36.3,20150804,10.061,32.019,28.501,31.047,2.1,2.5,10,5,45
17,20130702,DF,DF A6-B,6,2,B,24.8,24.4,24.8,25.4,58,20150813,,,,,10,2.5,10,5,45
18,20130702,DF,DF A6-A,6,3,D,24.2,24.4,24.6,24.2,26.4,20150813,,,,,2.8,2.5,10,5,45
19,20130702,DF,DF A7-A,7,1,A,24.2,24.4,24,24.2,36.2,20150814,12.876,30.41,27.429,29.731,3.1,2.5,10,5,45
20,20130702,DF,DF A7-B,7,2,B,24.2,24.2,24.2,24.2,39.4,20150811,,,,,2.9,2.5,10,5,45
21,20130702,DF,DF A7-C,7,3,C,24.4,24.6,24.6,24.6,19.5,20150730,13.924,31.323,27.615,29.4,2.9,2.5,10,5,45
22,20130702,DF,DF A8-A,8,1,B,24.4,24.2,24.2,24.2,16.3,20150804,10.72,31.401,28.282,30.804,2.5,2.5,10,5,45
23,20130702,DF,DF A8-B,8,2,C,25.2,25.2,24.8,24.6,54,20150813,,,,,7,2.5,10,5,45
25,20130702,DF,DF A9-C,9,1,C,23.8,23.8,23.8,24.4,33.5,20150731,11.37,29.65,26.138,28.338,2.2,2.5,10,5,45
26,20130702,DF,DF A9-B,9,2,D,24.8,24.6,25.2,24.6,21.3,20150813,,,,,8.2,2.5,10,5,45
27,20130702,DF,DF A9-A,9,3,B,24.6,24.6,24.2,24.6,34.1,20150731,12.244,29.974,26.309,28.682,2.7,2.5,10,5,45
28,20130702,DF,DF A10-A,10,1,A,24.6,24.8,24.6,24.4,52,20150804,11.209,30.46,26.158,29.581,3.9,2.5,10,5,45
29,20130702,DF,DF A10-C,10,2,C,24.8,25.4,24.2,24.8,12.6,20150814,14.114,30.474,26.557,29.872,5.4,2.5,10,5,45
30,20130702,DF,DF A10-B,10,3,D,25.2,23.8,25,24.4,21.2,20150814,10.476,30.458,27.311,,3,2.5,10,5,45
31,20130702,DF,DF A11-B,11,1,B,23.4,23.4,23.6,23.4,16.5,20150731,14.245,30.689,26.884,30.095,3.6,2.5,10,5,45
32,20130702,DF,DF A11-A,11,2,A,23.4,23.2,23,23.2,7.02,20150811,,,,,2.3,2.5,10,5,45
33,20130702,DF,DF A11-C,11,3,C,23.4,23.4,23.4,23.2,32.2,20150804,12.354,31.697,28.379,33.417,2.2,2.5,10,5,45
34,20130702,DF,DF A12-B,12,1,B,25.6,24.8,25.4,25.2,8.55,20150811,,,,,2.4,2.5,10,5,45
35,20130702,DF,DF A12-A,12,2,D,25.4,25.4,26,24.6,15.9,20150814,8.193,29.961,27.419,29.24,2.6,2.5,10,5,45
36,20130702,DF,DF A12-C,12,3,C,24.2,24.2,25.2,24.8,20.8,20150730,18.724,33.294,26.974,31.609,5.4,2.5,10,5,45
37,20130702,DF,DF A13-C,13,1,C,23.2,23.6,23.4,23.2,22.2,20150730,14.6,29.869,25.205,27.832,2.7,2.5,10,5,45
38,20130702,DF,DF A13-B,13,2,D,23.4,23.8,23.4,23.4,11.5,20150814,8.955,30.389,27.025,29.529,2.6,2.5,10,5,45
39,20130702,DF,DF A13-A,13,3,A,23.2,23.2,23.4,23.4,26.7,20150804,15.315,31.413,28.529,31.693,2.7,2.5,10,5,45
40,20130702,DF,DF A14-A,14,1,A,24,24,23.8,23.8,37.2,20150804,13.563,32.211,29.451,33.517,2.1,2.5,10,5,45
41,20130702,DF,DF A14-C,14,2,D,23.6,23.8,23.8,23.6,32.9,20150811,,,,,2.5,2.5,10,5,45
42,20130702,DF,DF A14-B,14,3,C,23.8,23.8,23.4,23.8,86,20150731,27.663,,28.904,35.483,1,2.5,10,5,45
43,20130702,DF,DF A15-B,15,1,B,23.8,23.8,23.8,23.6,46,20150730,16.657,,28.693,31.728,2.4,2.5,10,5,45
44,20130702,DF,DF A15-A,15,2,A,23.4,23.8,23.4,24.6,49.3,20150731,14.67,31.726,28.557,30.618,4,2.5,10,5,45
45,20130702,DF,DF A15-C,15,3,C,23.6,23.6,24,23.8,4.26,20150811,,,,,2,2.13,8.52,5.868544601,44.1314554
46,20130910,DF,DF A1-D,1,1,D,31.8,33.6,32.2,32.2,33.1,20150724,13.027,28.788,22.821,24.191,4.4,2.5,10,5,45
47,20130910,DF,DF A1-C,1,2,C,28.6,30.6,29.4,30.4,2.57,20150729,18.237,31.597,25.107,27.271,1,1.285,5.14,9.727626459,40.27237354
